Code,Short,Long,Price,,,,
PR00301,18.0 x 470,180 470 POLE CLEAN D/FIR '18B',846.87,,,,
PR00193,20.0 x 360,20 MEDIUM POLE CLEAN,273.51,,,,
PR00058,20.0 x 415,20 STOUT POLE CLEAN,780.34,,,,
PR00222,20.0 x 415 DF,20 STOUT POLE CLEAN D/FIR,1013.18,,,,
PR00252,20.0 x 435,20 XSTOUT POLE CLEAN,705.62,,,,
PR00271,20.0 x 445,20 XXSTOUT POLE CLEAN,592.84,,,,
PR00110,20.0 x 445,20 XXSTOUT POLE CLEAN,592.84,,,,
PR00292,20.0 x 465,20 SUPER STOUT POLE CLEAN,932.16,,,,
PR00194,21.0 STOUT,21 STOUT POLE CLEAN,632.84,,,,
PR00079,22.0 x 435,22 STOUT POLE CLEAN,723.10,,,,
PR00223,22.0 x 435 DF,22 STOUT POLE CLEAN D/FIR,891.43,,,,
PR00295,22.0 x 465,22 XXSTOUT POLE CLEAN,690.22,,,,
PR00289,22.0 x 485,22 SUPER STOUT POLE CLEAN,751.79,,,,
PR00192,23.0 STOUT,23 STOUT POLE CLEAN,813.36,,,,
PR00224,23.0 STOUT DF,23 STOUT POLE CLEAN D/FIR,703.11,,,,
PR00080,24.0 STOUT,24 STOUT POLE CLEAN,1091.31,,,,
PR00225,24.0 STOUT DF,24 STOUT POLE CLEAN D/FIR,1181.87,,,,
PR00290,24.0 X 520,24 SUPER STOUT POLE CLEAN,969.79,,,,
PR00069,6.0 x 150,6 LIGHT POLE CLEAN,34.30,,,,
PR00035,7.0 x 160,7 LIGHT POLE CLEAN,34.04,,,,
PR00101,7.0 x 200,7 MEDIUM POLE CLEAN,50.03,,,,
PR00036,8.0 x 170,8 LIGHT POLE CLEAN,54.64,,,,
PR00071,8.0 x 210,8 MEDIUM POLE CLEAN,69.04,,,,
PR00072,8.5 x 215,8.5 MEDIUM POLE CLEAN,70.55,,,,
PR00037,9.0 x 180,9 LIGHT POLE CLEAN,65.71,,,,
PR00046,9.0 x 220,9 MEDIUM POLE CLEAN,88.02,,,1000,
PR00293,9.0 x 250,9 MEDIUM-STOUT POLE CLEAN,89.73,,,0.4652,0.8625
PR00059,9.0 x 275,9 STOUT POLE CLEAN,127.76,,,465.2,
PRP090S,9.0 x 275,9 STOUT POLE CLEAN PP,156.86,,,,
PR00237,9.0 x 295,9 XSTOUT POLE CLEAN,122.48,,,,
PR00253,9.0 x 305,9 XXSTOUT POLE CLEAN,146.56,,,,
PR00272,9.0 x 335,9 SUPER STOUT POLE CLEAN,137.25,,,,
PR00045,9.5 x 225,9.5 MEDIUM POLE CLEAN,95.46,,,,
PR00078,9.5 x 280,9.5 STOUT POLE CLEAN,146.53,,,,
PR00315,,9.1 POLE CLEAN CLP,92.33,,,,
PR00316,,10.7 POLE CLEAN CLP,158.06,,,,
PR00317,,11.5 POLE CLEAN CLP,181.22,,,,
PFRS030,10.0 x 230,10 MEDIUM POLE CLEAN SYP,86.37,,,,
PRS120S,12.0 x 305,12 STOUT POLE CLEAN SYP,288.50,,,,
PRS140S,14.0 x 335,14 STOUT POLE CLEAN SYP,435.38,,,,
PRS150S,15.0 x 350,15 STOUT POLE CLEAN SYP,448.38,,,,
PRS160S,16.0 x 365,16 STOUT POLE CLEAN SYP,514.25,,,,
PRP105S,10.5 x 290,10.5 STOUT POLE CLEAN PP,212.53,,,,
PRS160ES,16.0 x 390,16 XSTOUT POLE CLEAN SYP,633.80,,,,
PRS120ES,12.0 x 335,12 XSTOUT POLE CLEAN SYP,375.58,,,,
PRS140ES,14.0 x 365,14 XSTOUT POLE CLEAN SYP,557.97,,,,
PRS150ES,15.0 x 375,15 XSTOUT POLE CLEAN SYP,590.81,,,,
PRS130ES,13.0 x 350,13 XSTOUT POLE CLEAN SYP,494.75,,,,
PRS130M,13.0 x 260,13 MEDIUM POLE CLEAN SYP,206.87,,,,
PRS110ES,11.0 x 320,11 XSTOUT POLE CLEAN SYP,343.08,,,,
PRS180S,18.0 x 390,18 STOUT POLE CLEAN SYP,685.86,,,,
PRS180ES,18.0 x 415,18 XSTOUT POLE CLEAN SYP,943.64,,,,
